029530|신도리코|31,850
091810|티웨이항공|2,000
000020|동화약품|11,250
002960|한국쉘석유|242,000
293480|하나제약|17,700
002310|아세아제지|35,100
016580|환인제약|16,950
001500|현대차증권|9,880
213500|한솔제지|13,150
00088K|한화3우B|13,900
072710|농심홀딩스|67,300
000480|조선내화|78,000
107590|미원홀딩스|134,000
530068|삼성 레버리지 천연가스 선물 ETN B|31,000
026890|스틱인베스트먼트|7,410
001250|GS글로벌|3,725
002020|코오롱|24,350
117580|대성에너지|11,100
017940|E1|44,450
077970|STX엔진|13,150
002990|금호건설|8,090
001630|종근당홀딩스|59,400
385550|KBSTAR KIS단기종합채권(AA-이상)액티브|100,780
126560|현대퓨처넷|2,695
401470|KODEX K-메타버스액티브|8,365
272550|삼양패키징|18,650
900140|엘브이엠씨홀딩스|2,955
002710|TCC스틸|12,450
400970|TIGER Fn메타버스|8,250
00104K|CJ4우(전환)|69,200
339770|교촌에프앤비|11,700
104700|한국철강|6,850
009680|모토닉|8,740
001200|유진투자증권|2,970
139990|아주스틸|10,850
084690|대상홀딩스|7,920
002150|도화엔지니어링|8,500
011700|한신기계|8,850
001790|대한제당|3,190
081000|일진다이아|20,050
004700|조광피혁|42,800
095720|웅진씽크빅|2,460
000490|대동|11,700
404990|신한서부티엔디리츠|4,980
001520|동양|1,165
005810|풍산홀딩스|26,400
377190|디앤디플랫폼리츠|4,200
006060|화승인더|4,880
298690|에어부산|1,390
001780|알루코|2,990
000140|하이트진로홀딩스|11,500
367770|KBSTAR Fn수소경제테마|9,240
003920|남양유업|369,500
037710|광주신세계|33,100
068290|삼성출판사|26,300
009410|태영건설|6,750
332940|HANARO MSCI Korea TR|13,055
084680|이월드|1,850
001070|대한방직|49,450
214330|금호에이치티|1,315
001570|금양|5,260
001460|BYC|416,500
030210|다올투자증권|4,310
002390|한독|18,850
029460|케이씨|19,100
414780|TIGER 차이나과창판STAR50(합성)|8,360
002030|아세아|117,500
003060|에이프로젠제약|640
009580|무림P&P|4,095
024090|디씨엠|22,400
036530|SNT홀딩스|15,550
011785|금호석유우|83,800
004380|삼익THK|12,050
092230|KPX홀딩스|59,600
290130|KBSTAR ESG사회책임투자|10,740
002810|삼영무역|13,500
213610|KODEX 삼성그룹밸류|8,150
077500|유니퀘스트|9,060
136490|선진|10,400
103590|일진전기|6,680
096760|JW홀딩스|3,500
019680|대교|2,900
143850|TIGER 미국S&P500선물(H)|46,455
200880|서연이화|8,980
005960|동부건설|10,600
006490|인스코비|2,200
394660|TIGER 글로벌자율주행&전기차SOLACTIVE|9,735
002780|진흥기업|1,655
003200|일신방직|99,900
008350|남선알미늄|2,175
329200|TIGER 리츠부동산인프라|5,355
010955|S-Oil우|59,400
105840|우진|11,750
001360|삼성제약|3,545
016450|한세예스24홀딩스|5,900
025000|KPX케미칼|48,700
035150|백산|9,650
035510|신세계 I&C|13,650
001130|대한제분|138,500
033180|KH 필룩스|1,525
000680|LS네트웍스|2,960
364960|TIGER KRX BBIG K-뉴딜|7,730
012610|경인양행|5,580
028100|동아지질|16,500
317400|자이에스앤디|5,970
011280|태림포장|3,240
379780|KBSTAR 미국S&P500|11,345
368590|KBSTAR 미국나스닥100|12,010
079430|현대리바트|11,100
003570|SNT중공업|6,880
397410|KBSTAR 국채선물5년추종인버스|53,070
241180|TIGER 일본니케이225|15,400
007160|사조산업|45,250
031440|신세계푸드|58,300
001940|KISCO홀딩스|13,950
00279K|아모레G3우(전환)|31,750
002460|화성산업|18,050
009155|삼성전기우|77,100
003960|사조대림|24,300
097955|CJ제일제당 우|167,500
194370|제이에스코퍼레이션|16,600
008060|대덕|6,530
001270|부국증권|21,250
044450|KSS해운|9,530
004980|성신양회|8,950
079980|휴비스|6,350
128820|대성산업|4,835
234080|JW생명과학|13,700
039570|HDC랩스|8,330
016610|DB금융투자|5,090
002100|경농|11,000
